,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000185885,2536.624301025137,-3.5295746439917903,0.1382657214772291,-25.527474245111968,9.768934083324096e-144,4.9550204544860555e-141
ENSG00000173821,14392.719730673283,-3.2799856128916294,0.12859299505811905,-25.506720730854763,1.6603070438349093e-143,8.120680344756815e-141
ENSG00000125347,4271.671154849633,-3.3710635254056043,0.1343158617943609,-25.098029974797324,5.2258195427364246e-139,2.4678482288888046e-136
ENSG00000168016,924.0592376547276,-4.79205067807289,0.1914267056000499,-25.033344553737336,2.6511236397905078e-138,1.2102379415643668e-135
ENSG00000131203,1052.9197430751394,-7.111358883857298,0.2879766883883839,-24.69421717311528,1.2339592686560955e-134,5.451313607821041e-132
ENSG00000118503,1515.1471495673102,-3.778880959992893,0.1535886973976143,-24.603900052684416,1.14743266414869e-133,4.910653229848846e-131
ENSG00000140853,771.7057110049695,-5.372444536388721,0.21894026324630433,-24.538403566021138,5.751771681213916e-133,2.3869852477037752e-130
ENSG00000115267,6324.821002564513,-4.088800868443614,0.16701190424462792,-24.482092380999443,2.2919748169017638e-132,9.231939740432252e-130
ENSG00000162772,2198.232745475206,-4.38443414446149,0.17909633004162637,-24.480870956107474,2.3616625212401848e-132,9.240848065252665e-130
ENSG00000168062,787.8353306165866,-5.3348162826459555,0.21963975825204818,-24.288937144631042,2.5659480368779935e-130,9.761293990290034e-128
ENSG00000172183,3494.768571659536,-3.511452222962443,0.14592221900754115,-24.06386256215699,5.977061703642087e-128,2.212320541388605e-125
ENSG00000173193,14892.34149355118,-3.3630992128487622,0.1405292176069566,-23.931672502831034,1.4340673394336824e-126,5.1683032140906005e-124
ENSG00000185507,5478.96655571497,-3.2697330013690635,0.13729276497635054,-23.81577064117176,2.2928057628435494e-125,8.051275621062156e-123
ENSG00000187608,12428.856921487264,-2.8970040220714335,0.12283838683292646,-23.58386573418351,5.643254119580076e-123,1.9321091291912286e-120
ENSG00000170581,3656.96395297928,-3.3556335779237396,0.14236791807672716,-23.570152765142417,7.801774588565563e-123,2.605982999765985e-120
ENSG00000221963,6105.550413129733,-3.8650851578289,0.16450094256261233,-23.49582377838213,4.5000859621022524e-122,1.467349458356913e-119
ENSG00000100906,10380.160753593831,-2.9329487690766927,0.1270258893065075,-23.0893779613668,5.919917892328679e-118,1.8854250124521225e-115
ENSG00000137959,5241.260183777789,-3.1005695652690557,0.13754626140646659,-22.5420126549749,1.6083883194520839e-112,5.006108644294611e-110
ENSG00000169248,1030.056888449239,-7.299431903653349,0.3329993325889094,-21.92025986029396,1.6650423524661579e-106,5.0672788926720067e-104
ENSG00000163644,1540.9942916500836,-3.3008877403312855,0.15101625878934408,-21.857830188574376,6.548373974956335e-106,1.9495648171092825e-103
ENSG00000110446,571.5010003002035,-5.721619930462626,0.2629531803047032,-21.759082448946096,5.667094567195947e-105,1.6512948956967766e-102
ENSG00000113369,1251.356996896572,-3.393480430072285,0.15665119379705375,-21.662652851970215,4.6185674589030143e-104,1.3177350281182663e-101
ENSG00000168961,1864.552813849927,-3.1721353763288147,0.14845766658645465,-21.36727222828546,2.694204432301273e-101,7.530026469462435e-99
ENSG00000122641,5180.779140526582,-2.6471435376034993,0.12735111761340678,-20.786182227621246,5.7724817559294385e-96,1.581082752949073e-93
ENSG00000137965,3596.706716793263,-2.9456054900656605,0.14257210261073322,-20.660461872461067,7.860884390286509e-95,2.1108786612739948e-92
ENSG00000122643,5131.162566848799,-3.1700970009952347,0.15355988777000204,-20.644043487081227,1.1042672314615615e-94,2.908257641320401e-92
ENSG00000146859,654.4388403704683,-3.965795560131638,0.1950894837450242,-20.328084753736945,7.258066163941742e-92,1.875456907833626e-89
ENSG00000177606,7239.610261997537,-2.6644092102081807,0.13122091417417056,-20.30476031184853,1.1671210908933854e-91,2.959948766626836e-89
ENSG00000135899,7272.081160527716,-2.524279674732302,0.12611344108516467,-20.015944795508755,3.9998188314782886e-89,9.959548890380939e-87
ENSG00000124201,8487.181258710349,-2.607872001556838,0.13133748530605094,-19.856265676777728,9.728050037750669e-88,2.379029379767775e-85
ENSG00000136514,559.7749661857488,-4.065320018186085,0.2050736914037503,-19.823703325173287,1.8591101161843022e-87,4.4667566738849157e-85
ENSG00000068079,5438.796612869157,-3.1143508762520526,0.1578744081581762,-19.72676200395791,1.2705214938422101e-86,2.9999641134774256e-84
ENSG00000079385,942.7267591235726,-3.301128623775045,0.16957007909295452,-19.467636280133124,2.065867975882915e-84,4.7952647338502583e-82
ENSG00000163565,2813.3866869428957,-3.529130688455662,0.18148860354797097,-19.445467205453724,3.1836160923683903e-84,7.26660373083085e-82
ENSG00000119922,10408.466255076224,-6.944627754462524,0.35818934948198794,-19.388146980098146,9.717516517851003e-84,2.1816621100322865e-81
ENSG00000196684,2210.7013367798427,-2.7145348828072993,0.14128009120666712,-19.21385284807346,2.8342956471689427e-82,6.260593369028817e-80
ENSG00000120217,496.83799752464114,-4.136357301728359,0.21539801607273967,-19.20332126147121,3.471669832377068e-82,7.546748945143484e-80
ENSG00000156587,2249.2426292527684,-2.7822713903592207,0.1459810904722688,-19.05912184487862,5.519340491726209e-81,1.1676174750780115e-78
ENSG00000271503,549.8809967256904,-6.743195843957444,0.3538080676220354,-19.058909225215963,5.541813499822618e-81,1.1676174750780115e-78
ENSG00000182179,670.9639604195361,-3.613499393443435,0.1897912983496351,-19.039331227855435,8.05495632924404e-81,1.6714034383181384e-78
ENSG00000163545,545.8561672382092,-3.638952491273688,0.19273447229915153,-18.880651955325938,1.6454244333034827e-79,3.363296658819581e-77
ENSG00000130813,1678.6362053785185,-2.869023018821424,0.1541617965410539,-18.610466945728614,2.6430405292129766e-77,5.323005889348782e-75
ENSG00000087074,6839.3032592473855,-2.979819965926286,0.16062005584990316,-18.55197939110966,7.860340863178825e-77,1.5601067843657102e-74
ENSG00000163659,2796.568681641401,-2.777169490570557,0.15103399623548278,-18.387711110024313,1.6479169618392408e-75,3.2240318274840573e-73
ENSG00000140105,4508.303058910104,-2.3255942519904287,0.12686140046588293,-18.331771866383068,4.616196625426992e-75,8.904058138763754e-73
ENSG00000059378,3201.6949828435886,-2.519474834691651,0.13890552337726095,-18.138046446496404,1.5960429088016947e-73,3.035806616116557e-71
ENSG00000124256,351.5084733195152,-5.253599355439903,0.2923488652903068,-17.970308693426944,3.3285746612108625e-72,6.244497258257913e-70
ENSG00000128284,356.9786097459574,-5.100942278478983,0.28465819004614945,-17.919534574613877,8.301978862550245e-72,1.5364270340895353e-69
ENSG00000123240,4053.6539919480238,-2.2956854794049364,0.12814284019292474,-17.91505070395412,8.998711899378674e-72,1.643164792826546e-69
ENSG00000166750,2773.835313491439,-2.8757732255719834,0.1629628748680811,-17.646799787374455,1.0768804823423582e-69,1.9405102902208678e-67
ENSG00000152689,385.9300131733222,-4.256977640099789,0.24163571381222465,-17.617336332194217,1.8134488984644772e-69,3.2253483979832485e-67
ENSG00000132256,1394.0434772400895,-2.5936609366126175,0.14839682674567803,-17.477873304242717,2.1123148723844835e-68,3.7087374586289103e-66
ENSG00000140465,440.0150843260318,-3.743300777818196,0.21561921581476215,-17.360701195732272,1.637117279844706e-67,2.838015335123196e-65
ENSG00000152778,787.6891510769703,-2.938613921157512,0.16936608608053527,-17.35066322404222,1.9498011163465766e-67,3.337815786045796e-65
ENSG00000108771,522.4562058593791,-3.6014689763054024,0.20898058341617037,-17.23351001051292,1.4883918013947804e-66,2.5164846568026566e-64
ENSG00000134470,1390.4113639618886,-2.73189009660831,0.15863989367543552,-17.220700501713257,1.8572661673802548e-66,3.101860995399096e-64
ENSG00000128335,9129.244697541297,-2.3444914145892977,0.13619635460795135,-17.21405408638171,2.083236954862393e-66,3.437340975522948e-64
ENSG00000105559,3813.6805461995987,-2.320755628113532,0.13518286675282234,-17.167527837362417,4.647987752633826e-66,7.577880032419076e-64
ENSG00000115415,6626.500417271893,-2.5319689789431483,0.14815777255063095,-17.08968038162076,1.7714208468753927e-65,2.854071587995118e-63
ENSG00000111912,1470.9803526774458,-2.547178649121802,0.14929427893343536,-17.06146188131892,2.8727518182971266e-65,4.574690250183622e-63
ENSG00000140464,2870.5409805118193,-2.43876073681974,0.1440317294658099,-16.932107570079904,2.608698489169161e-64,4.106451242433524e-62
ENSG00000067066,6236.916782442212,-2.2942830643227885,0.1369923963812619,-16.747521212327705,5.903537677652399e-63,9.187380510846546e-61
ENSG00000114127,2949.7360406084795,-2.8514884225133854,0.17150336262791904,-16.626428653179023,4.485458482744018e-62,6.902062238334756e-60
ENSG00000178685,2030.9663335902037,-2.9572546667397535,0.17971062870802504,-16.45564699205627,7.640111698713685e-61,1.1625703301542655e-58
ENSG00000105939,3937.2067847280878,-2.457486572981308,0.14976912474374984,-16.408499263022257,1.6626462242928526e-60,2.502191213372595e-58
ENSG00000162645,1470.1160627933564,-2.3280305678458513,0.1427532883209098,-16.30806964398909,8.648285217280907e-60,1.2873724570724133e-57
ENSG00000157557,4029.852325278692,-2.069849538046996,0.12734481150591992,-16.25389769374918,2.096042991814506e-59,3.0865923411720064e-57
ENSG00000141574,303.1958275662127,-5.153816124472935,0.3174696458682645,-16.234043763073764,2.8972762951505506e-59,4.2210849853283824e-57
ENSG00000013374,3120.173624427927,-2.356530861699878,0.14549069623809366,-16.197124095436628,5.28411347437679e-59,7.617466740167384e-57
ENSG00000081041,2195.4349146790964,-2.427520551049266,0.15134293840460597,-16.039866654098127,6.729869948293337e-58,9.600580098112214e-56
ENSG00000137628,1340.1356787588218,-3.218397305049641,0.20076213658224046,-16.030897856734317,7.775120514933425e-58,1.0977347984743635e-55
ENSG00000197536,403.0966463425886,-3.2856984791773662,0.20541218178147805,-15.995635948566886,1.3705161312985074e-57,1.915226369197251e-55
ENSG00000138642,1097.7066934189563,-2.682221908015742,0.16924487683075964,-15.848171940222995,1.4473006377424996e-56,2.0020992155437914e-54
